ID,Title,Section,Type,Priority,Preconditions,Steps,Expected Result,EMVCo Reference,Business Rule,API Endpoint,Expected HTTP,pm.test Count
01-01,01-01 Create Vault (happy path),01 Vault Creation,Functional,High,Full setup flow completed (steps 01-11). Vault creation with valid TSP code.,"1. POST {{baseUrl_rgm}}/rgm/api/vaults
2. Verify HTTP 200,201
3. Run 3 pm.test() assertions","HTTP 200,201, all assertions pass",,,POST {{baseUrl_rgm}}/rgm/api/vaults,"200,201",3
01-02,01-02 Vault - missing tspCode,01 Vault Creation,Negative,High,Full setup flow completed (steps 01-11). tspCode omitted.,"1. POST {{baseUrl_rgm}}/rgm/api/vaults
2. Verify HTTP 400
3. Run 2 pm.test() assertions","HTTP 400, all assertions pass",,,POST {{baseUrl_rgm}}/rgm/api/vaults,400,2
01-03,01-03 Vault - empty custodianIdList,01 Vault Creation,Negative,High,Full setup flow completed (steps 01-11). At least one custodian required.,"1. POST {{baseUrl_rgm}}/rgm/api/vaults
2. Verify HTTP 400
3. Run 1 pm.test() assertions","HTTP 400, all assertions pass",,,POST {{baseUrl_rgm}}/rgm/api/vaults,400,1
01-04,01-04 Vault - duplicate creation,01 Vault Creation,Negative,High,Full setup flow completed (steps 01-11). Duplicate tspCode should conflict.,"1. POST {{baseUrl_rgm}}/rgm/api/vaults
2. Verify HTTP 400-499
3. Run 1 pm.test() assertions","HTTP 400-499, all assertions pass",,,POST {{baseUrl_rgm}}/rgm/api/vaults,400-499,1
01-05,01-05 Vault - invalid tspCode format,01 Vault Creation,Negative,High,Full setup flow completed (steps 01-11). Special characters in tspCode.,"1. POST {{baseUrl_rgm}}/rgm/api/vaults
2. Verify HTTP 400
3. Run 1 pm.test() assertions","HTTP 400, all assertions pass",,,POST {{baseUrl_rgm}}/rgm/api/vaults,400,1
02-01,02-01 Generate key (happy path),02 Transport Key Generation,Functional,High,Full setup flow completed (steps 01-11). Generate transport key for issuer onboarding.,"1. GET {{baseUrl_crypto}}/api/generate-transport-key
2. Verify HTTP 200
3. Run 3 pm.test() assertions","HTTP 200, all assertions pass",,,GET {{baseUrl_crypto}}/api/generate-transport-key,200,3
02-02,02-02 Key uniqueness check (call 1),02 Transport Key Generation,Functional,Medium,Full setup flow completed (steps 01-11). Key uniqueness — store first key.,"1. GET {{baseUrl_crypto}}/api/generate-transport-key
2. Verify HTTP 200
3. Run 1 pm.test() assertions","HTTP 200, all assertions pass",,,GET {{baseUrl_crypto}}/api/generate-transport-key,200,1
02-03,02-03 Key uniqueness check (call 2),02 Transport Key Generation,Functional,Medium,Full setup flow completed (steps 01-11). Verify two generated keys are never identical.,"1. GET {{baseUrl_crypto}}/api/generate-transport-key
2. Verify HTTP 200
3. Run 2 pm.test() assertions","HTTP 200, all assertions pass",,,GET {{baseUrl_crypto}}/api/generate-transport-key,200,2
03-01,03-01 Get certificate (happy path),03 Certificate Retrieval,Functional,High,Full setup flow completed (steps 01-11). Retrieve vault certificate for key encryption.,"1. GET {{baseUrl_tvm}}/tvm/api/vault/certificate
2. Verify HTTP 200
3. Run 2 pm.test() assertions","HTTP 200, all assertions pass",,,GET {{baseUrl_tvm}}/tvm/api/vault/certificate,200,2
03-02,03-02 Certificate - missing X-TV-ID,03 Certificate Retrieval,Negative,High,Full setup flow completed (steps 01-11). Vault identifier required.,"1. GET {{baseUrl_tvm}}/tvm/api/vault/certificate
2. Verify HTTP 400,401
3. Run 1 pm.test() assertions","HTTP 400,401, all assertions pass",,,GET {{baseUrl_tvm}}/tvm/api/vault/certificate,"400,401",1
