ID,Title,Section,Type,Priority,Preconditions,Steps,Expected Result,EMVCo Reference,Business Rule,API Endpoint,Expected HTTP,pm.test Count
TC-01-01,TC-01-01 Happy Path - Valid vault creation,TC-01 Vault Creation,Functional,High,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_rgm}}/rgm/api/vaults
2. Verify HTTP 200,201
3. Run 3 pm.test() assertions","HTTP 200,201, assertions pass",,,POST {{baseUrl_rgm}}/rgm/api/vaults,"200,201",3
TC-01-02,TC-01-02 Negative - Missing tspCode,TC-01 Vault Creation,Negative,High,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_rgm}}/rgm/api/vaults
2. Verify HTTP 400
3. Run 2 pm.test() assertions","HTTP 400, assertions pass",,,POST {{baseUrl_rgm}}/rgm/api/vaults,400,2
TC-01-03,TC-01-03 Negative - Empty custodianIdList,TC-01 Vault Creation,Negative,High,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_rgm}}/rgm/api/vaults
2. Verify HTTP 400
3. Run 1 pm.test() assertions","HTTP 400, assertions pass",,,POST {{baseUrl_rgm}}/rgm/api/vaults,400,1
TC-01-04,TC-01-04 Negative - Duplicate vault creation,TC-01 Vault Creation,Negative,High,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_rgm}}/rgm/api/vaults
2. Verify HTTP 400-499
3. Run 1 pm.test() assertions","HTTP 400-499, assertions pass",,,POST {{baseUrl_rgm}}/rgm/api/vaults,400-499,1
TC-01-05,TC-01-05 Edge - Invalid tspCode format,TC-01 Vault Creation,Boundary,Medium,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_rgm}}/rgm/api/vaults
2. Verify HTTP 400
3. Run 1 pm.test() assertions","HTTP 400, assertions pass",,,POST {{baseUrl_rgm}}/rgm/api/vaults,400,1
TC-02-01,TC-02-01 Happy Path - Key generation,TC-02 Generate Transport Key,Functional,High,Vault setup flow completed (TC-01 through TC-11).,"1. Send GET {{baseUrl_crypto}}/api/generate-transport-key
2. Verify HTTP 200
3. Run 3 pm.test() assertions","HTTP 200, assertions pass",,,GET {{baseUrl_crypto}}/api/generate-transport-key,200,3
TC-02-02,TC-02-02 Edge - Key uniqueness (1/2),TC-02 Generate Transport Key,Boundary,Medium,Vault setup flow completed (TC-01 through TC-11).,"1. Send GET {{baseUrl_crypto}}/api/generate-transport-key
2. Verify HTTP 200
3. Run 2 pm.test() assertions","HTTP 200, assertions pass",,,GET {{baseUrl_crypto}}/api/generate-transport-key,200,2
TC-02-02b,TC-02-02b Edge - Key uniqueness (2/2),TC-02 Generate Transport Key,Boundary,Medium,Vault setup flow completed (TC-01 through TC-11).,"1. Send GET {{baseUrl_crypto}}/api/generate-transport-key
2. Verify HTTP 200
3. Run 2 pm.test() assertions","HTTP 200, assertions pass",,,GET {{baseUrl_crypto}}/api/generate-transport-key,200,2
TC-03-01,TC-03-01 Happy Path - Valid X-TV-ID,TC-03 Get Certificate,Functional,High,Vault setup flow completed (TC-01 through TC-11).,"1. Send GET {{baseUrl_tvm}}/tvm/api/vault/certificate
2. Verify HTTP 200
3. Run 2 pm.test() assertions","HTTP 200, assertions pass",,,GET {{baseUrl_tvm}}/tvm/api/vault/certificate,200,2
TC-03-02,TC-03-02 Negative - Missing X-TV-ID,TC-03 Get Certificate,Negative,High,Vault setup flow completed (TC-01 through TC-11).,"1. Send GET {{baseUrl_tvm}}/tvm/api/vault/certificate
2. Verify HTTP 400,401
3. Run 1 pm.test() assertions","HTTP 400,401, assertions pass",,,GET {{baseUrl_tvm}}/tvm/api/vault/certificate,"400,401",1
TC-03-03,TC-03-03 Negative - Non-existent vault,TC-03 Get Certificate,Negative,High,Vault setup flow completed (TC-01 through TC-11).,"1. Send GET {{baseUrl_tvm}}/tvm/api/vault/certificate
2. Verify HTTP 404
3. Run 1 pm.test() assertions","HTTP 404, assertions pass",,,GET {{baseUrl_tvm}}/tvm/api/vault/certificate,404,1
TC-04-01,TC-04-01 Happy Path - Valid cert and plainData,TC-04 Encrypt The Key,Functional,High,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_crypto}}/api/v1/encrypt/transport-key
2. Verify HTTP 200
3. Run 2 pm.test() assertions","HTTP 200, assertions pass",,,POST {{baseUrl_crypto}}/api/v1/encrypt/transport-key,200,2
TC-04-02,TC-04-02 Negative - Missing certificate,TC-04 Encrypt The Key,Negative,High,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_crypto}}/api/v1/encrypt/transport-key
2. Verify HTTP 400
3. Run 1 pm.test() assertions","HTTP 400, assertions pass",,,POST {{baseUrl_crypto}}/api/v1/encrypt/transport-key,400,1
TC-04-03,TC-04-03 Negative - Invalid certificate,TC-04 Encrypt The Key,Negative,High,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_crypto}}/api/v1/encrypt/transport-key
2. Verify HTTP 400,422
3. Run 1 pm.test() assertions","HTTP 400,422, assertions pass",,,POST {{baseUrl_crypto}}/api/v1/encrypt/transport-key,"400,422",1
TC-04-04,TC-04-04 Edge - plainData wrong length,TC-04 Encrypt The Key,Boundary,Medium,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_crypto}}/api/v1/encrypt/transport-key
2. Verify HTTP 400
3. Run 1 pm.test() assertions","HTTP 400, assertions pass",,,POST {{baseUrl_crypto}}/api/v1/encrypt/transport-key,400,1
TC-05-01,TC-05-01 Happy Path - Valid issuer,TC-05 Issuer Creation,Functional,High,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_tvm}}/tvm/api/issuer
2. Verify HTTP 200,201
3. Run 2 pm.test() assertions","HTTP 200,201, assertions pass",,,POST {{baseUrl_tvm}}/tvm/api/issuer,"200,201",2
TC-05-02,TC-05-02 Negative - Invalid KCV,TC-05 Issuer Creation,Negative,High,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_tvm}}/tvm/api/issuer
2. Verify HTTP 400,422
3. Run 1 pm.test() assertions","HTTP 400,422, assertions pass",,,POST {{baseUrl_tvm}}/tvm/api/issuer,"400,422",1
TC-05-03,TC-05-03 Negative - Missing X-TV-ID,TC-05 Issuer Creation,Negative,High,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_tvm}}/tvm/api/issuer
2. Verify HTTP 400,401
3. Run 1 pm.test() assertions","HTTP 400,401, assertions pass",,,POST {{baseUrl_tvm}}/tvm/api/issuer,"400,401",1
TC-05-04,TC-05-04 Negative - Duplicate issuer,TC-05 Issuer Creation,Negative,High,Vault setup flow completed (TC-01 through TC-11).,"1. Send POST {{baseUrl_tvm}}/tvm/api/issuer
2. Verify HTTP 400-499
3. Run 1 pm.test() assertions","HTTP 400-499, assertions pass",,,POST {{baseUrl_tvm}}/tvm/api/issuer,400-499,1
