ID,Title,Section,Type,Priority,Preconditions,Steps,Expected Result,EMVCo Reference,Business Rule,API Endpoint,Expected HTTP
TC-01-01,TC-01-01 Happy Path - Valid vault creation,TC-01 Vault Creation,POSITIVE,High,"Vault created, issuer onboarded, BIN and account ranges configured.","1. Send POST request to http://10.88.250.40:40010/rgm/api/vaults
2. Request body: {
  ""tspCode"": ""998"",
  ""tokenVaultName"": ""My Token Vault"",
  ""custodianIdList"": [
    ""custodian007"",
    ""custodian008""
  ]
}
3. Verify HTTP response code 200/201
4. Validate response body structure and fields","HTTP 200/201, vaultId returned in response.",,,POST http://10.88.250.40:40010/rgm/api/vaults,200/201
TC-01-02,TC-01-02 Negative - Missing tspCode,TC-01 Vault Creation,NEGATIVE,High,"Vault created, issuer onboarded, BIN and account ranges configured.","1. Send POST request to http://10.88.250.40:40010/rgm/api/vaults
2. Request body: {
  ""tokenVaultName"": ""My Token Vault"",
  ""custodianIdList"": [
    ""custodian007"",
    ""custodian008""
  ]
}
3. Verify HTTP response code 400
4. Validate response body structure and fields","HTTP 400, validation error indicating tspCode is required.",,,POST http://10.88.250.40:40010/rgm/api/vaults,400
TC-01-03,TC-01-03 Negative - Empty custodianIdList,TC-01 Vault Creation,NEGATIVE,High,"Vault created, issuer onboarded, BIN and account ranges configured.","1. Send POST request to http://10.88.250.40:40010/rgm/api/vaults
2. Request body: {
  ""tspCode"": ""998"",
  ""tokenVaultName"": ""My Token Vault"",
  ""custodianIdList"": []
}
3. Verify HTTP response code 400
4. Validate response body structure and fields","HTTP 400, error: at least one custodian required.",,,POST http://10.88.250.40:40010/rgm/api/vaults,400
TC-01-04,TC-01-04 Negative - Duplicate vault creation,TC-01 Vault Creation,NEGATIVE,High,"Vault created, issuer onboarded, BIN and account ranges configured.","1. Send POST request to http://10.88.250.40:40010/rgm/api/vaults
2. Request body: {
  ""tspCode"": ""998"",
  ""tokenVaultName"": ""My Token Vault"",
  ""custodianIdList"": [
    ""custodian007"",
    ""custodian008""
  ]
}
3. Verify HTTP response code 409
4. Validate response body structure and fields",HTTP 409 Conflict or appropriate duplicate error.,,,POST http://10.88.250.40:40010/rgm/api/vaults,409
TC-01-05,TC-01-05 Edge Case - Invalid tspCode format,TC-01 Vault Creation,EDGE CASE,Medium,"Vault created, issuer onboarded, BIN and account ranges configured.","1. Send POST request to http://10.88.250.40:40010/rgm/api/vaults
2. Request body: {
  ""tspCode"": ""ABC!@#"",
  ""tokenVaultName"": ""My Token Vault"",
  ""custodianIdList"": [
    ""custodian007""
  ]
}
3. Verify HTTP response code 400
4. Validate response body structure and fields","HTTP 400, validation error on tspCode format.",,,POST http://10.88.250.40:40010/rgm/api/vaults,400
TC-02-01,TC-02-01 Happy Path - Key generation,TC-02 Generate Transport Key,POSITIVE,High,"Vault created, issuer onboarded, BIN and account ranges configured.","1. Send GET request to http://10.88.250.40:40029/api/generate-transport-key
2. Verify HTTP response code 200
3. Validate response body structure and fields","HTTP 200, transport key (hex string) returned, KCV value present.",,,GET http://10.88.250.40:40029/api/generate-transport-key,200
TC-02-02,TC-02-02 Edge Case - Key uniqueness (call 1 of 2),TC-02 Generate Transport Key,EDGE CASE,Medium,"Vault created, issuer onboarded, BIN and account ranges configured.","1. Send GET request to http://10.88.250.40:40029/api/generate-transport-key
2. Verify HTTP response code 
3. Validate response body structure and fields",Distinct key values across both calls.,,,GET http://10.88.250.40:40029/api/generate-transport-key,
TC-02-02b,TC-02-02b Edge Case - Key uniqueness (call 2 of 2),TC-02 Generate Transport Key,EDGE CASE,Medium,"Vault created, issuer onboarded, BIN and account ranges configured.","1. Send GET request to http://10.88.250.40:40029/api/generate-transport-key
2. Verify HTTP response code 
3. Validate response body structure and fields",Key must differ from first call.,,,GET http://10.88.250.40:40029/api/generate-transport-key,
TC-03-01,TC-03-01 Happy Path - Valid X-TV-ID,TC-03 Get Certificate,POSITIVE,High,"Vault created, issuer onboarded, BIN and account ranges configured.","1. Send GET request to http://10.88.250.40:40020/tvm/api/vault/certificate
2. Verify HTTP response code 200
3. Validate response body structure and fields","HTTP 200, PEM/DER certificate returned.",,,GET http://10.88.250.40:40020/tvm/api/vault/certificate,200
TC-03-02,TC-03-02 Negative - Missing X-TV-ID header,TC-03 Get Certificate,NEGATIVE,High,"Vault created, issuer onboarded, BIN and account ranges configured.","1. Send GET request to http://10.88.250.40:40020/tvm/api/vault/certificate
2. Verify HTTP response code 400
3. Validate response body structure and fields","HTTP 400 or 401, error: missing vault identifier.",,,GET http://10.88.250.40:40020/tvm/api/vault/certificate,400
TC-03-03,TC-03-03 Negative - Non-existent vault ID,TC-03 Get Certificate,NEGATIVE,High,"Vault created, issuer onboarded, BIN and account ranges configured.","1. Send GET request to http://10.88.250.40:40020/tvm/api/vault/certificate
2. Verify HTTP response code 404
3. Validate response body structure and fields","HTTP 404, vault not found.",,,GET http://10.88.250.40:40020/tvm/api/vault/certificate,404
TC-04-01,TC-04-01 Happy Path - Valid cert and plainData,TC-04 Encrypt The Key,POSITIVE,High,"Vault created, issuer onboarded, BIN and account ranges configured.","1. Send POST request to http://10.88.250.40:40029/api/v1/encrypt/transport-key
2. Verify HTTP response code 200
3. Validate response body structure and fields","HTTP 200, encryptedTransportKey hex string returned.",,,POST http://10.88.250.40:40029/api/v1/encrypt/transport-key,200
TC-04-02,TC-04-02 Negative - Missing certificate file,TC-04 Encrypt The Key,NEGATIVE,High,"Vault created, issuer onboarded, BIN and account ranges configured.","1. Send POST request to http://10.88.250.40:40029/api/v1/encrypt/transport-key
2. Verify HTTP response code 400
3. Validate response body structure and fields","HTTP 400, error: certificate required.",,,POST http://10.88.250.40:40029/api/v1/encrypt/transport-key,400
