ID,Title,Section,Type,Priority,Preconditions,Steps,Expected Result,EMVCo Reference,Business Rule,API Endpoint,Expected HTTP
TC-TVT-001,TC-TVT-001 Token Provisioning - Valid PAN in Q1 range,TC-A Token Provisioning,POSITIVE,Medium,"Vault created, issuer onboarded, BIN and account ranges configured.","1. Send POST request to http://10.88.250.40:40020/tvm/api/tokens/provision
2. Request body: {
  ""pan"": ""6399960312345678"",
  ""panExpiry"": ""0327"",
  ""tokenRequestorId"": ""99850031692"",
  ""tokenType"": ""CLOUD"",
  ""tokenAssuranceLevel"": ""3""
}
3. Verify HTTP response code 200/201
4. Validate response body structure and fields","HTTP 200/201, token (13-19 digit Luhn-valid), TAL returned, token expiry within PAN expiry boundary.",Section 4.3.,"R1, R4",POST http://10.88.250.40:40020/tvm/api/tokens/provision,200/201
TC-TVT-002,TC-TVT-002 Token Provisioning - Valid PAN in Q2 range,TC-A Token Provisioning,POSITIVE,Medium,"Vault created, issuer onboarded, BIN and account ranges configured.","1. Send POST request to http://10.88.250.40:40020/tvm/api/tokens/provision
2. Request body: {
  ""pan"": ""6399960312345678"",
  ""panExpiry"": ""0627"",
  ""tokenRequestorId"": ""99850031692"",
  ""tokenType"": ""CLOUD"",
  ""tokenAssuranceLevel"": ""3""
}
3. Verify HTTP response code 200/201
4. Validate response body structure and fields","HTTP 200/201, token issued from Q2 BIN range.",Section 4.3.,R4,POST http://10.88.250.40:40020/tvm/api/tokens/provision,200/201
TC-TVT-003,TC-TVT-003 Token Provisioning - Valid PAN in Q3 range,TC-A Token Provisioning,POSITIVE,Medium,"Vault created, issuer onboarded, BIN and account ranges configured.","1. Send POST request to http://10.88.250.40:40020/tvm/api/tokens/provision
2. Request body: {
  ""pan"": ""6399960312345678"",
  ""panExpiry"": ""0927"",
  ""tokenRequestorId"": ""99850031692"",
  ""tokenType"": ""CLOUD"",
  ""tokenAssuranceLevel"": ""3""
}
3. Verify HTTP response code 200/201
4. Validate response body structure and fields","HTTP 200/201, token from Q3 BIN range.",Section 4.3.,R4,POST http://10.88.250.40:40020/tvm/api/tokens/provision,200/201
TC-TVT-004,TC-TVT-004 Token Provisioning - Valid PAN in Q4 range,TC-A Token Provisioning,POSITIVE,Medium,"Vault created, issuer onboarded, BIN and account ranges configured.","1. Send POST request to http://10.88.250.40:40020/tvm/api/tokens/provision
2. Request body: {
  ""pan"": ""6399960312345678"",
  ""panExpiry"": ""1227"",
  ""tokenRequestorId"": ""99850031692"",
  ""tokenType"": ""CLOUD"",
  ""tokenAssuranceLevel"": ""3""
}
3. Verify HTTP response code 200/201
4. Validate response body structure and fields","HTTP 200/201, token from Q4 BIN range.",Section 4.3.,R4,POST http://10.88.250.40:40020/tvm/api/tokens/provision,200/201
TC-TVT-005,TC-TVT-005 Token Provisioning - BIN range boundary first token,TC-A Token Provisioning,BOUNDARY,High,"Vault created, issuer onboarded, BIN and account ranges configured.","1. Send POST request to http://10.88.250.40:40020/tvm/api/tokens/provision
2. Request body: {
  ""pan"": ""6399960311000001"",
  ""panExpiry"": ""0627"",
  ""tokenRequestorId"": ""99850031692"",
  ""tokenType"": ""CLOUD"",
  ""tokenAssuranceLevel"": ""3""
}
3. Verify HTTP response code 200/201
4. Validate response body structure and fields","HTTP 200/201, token value starts at configured BIN_START.",Section 4.3.2.,R2,POST http://10.88.250.40:40020/tvm/api/tokens/provision,200/201
TC-TVT-006,TC-TVT-006 Token Provisioning - BIN range boundary last token,TC-A Token Provisioning,BOUNDARY,High,"Vault created, issuer onboarded, BIN and account ranges configured.","1. Send POST request to http://10.88.250.40:40020/tvm/api/tokens/provision
2. Request body: {
  ""pan"": ""6399960319000000"",
  ""panExpiry"": ""0627"",
  ""tokenRequestorId"": ""99850031692"",
  ""tokenType"": ""CLOUD"",
  ""tokenAssuranceLevel"": ""3""
}
3. Verify HTTP response code 200/201
4. Validate response body structure and fields","HTTP 200/201, token at BIN_END.",Section 4.3.2.,"R2, R3",POST http://10.88.250.40:40020/tvm/api/tokens/provision,200/201
TC-TVT-007,TC-TVT-007 Token Provisioning - Range one away from exhaustion,TC-A Token Provisioning,BOUNDARY,High,"Vault created, issuer onboarded, BIN and account ranges configured.","1. Send POST request to http://10.88.250.40:40020/tvm/api/tokens/provision
2. Request body: {
  ""pan"": ""6399960318999999"",
  ""panExpiry"": ""0627"",
  ""tokenRequestorId"": ""99850031692"",
  ""tokenType"": ""CLOUD"",
  ""tokenAssuranceLevel"": ""3""
}
3. Verify HTTP response code 200/201
4. Validate response body structure and fields","HTTP 200/201, last token issued, remaining capacity = 0 after.",Section 4.3.2.,"R3, R5",POST http://10.88.250.40:40020/tvm/api/tokens/provision,200/201
TC-TVT-008,TC-TVT-008 Token Provisioning - Range fully exhausted,TC-A Token Provisioning,NEGATIVE,High,"Vault created, issuer onboarded, BIN and account ranges configured.","1. Send POST request to http://10.88.250.40:40020/tvm/api/tokens/provision
2. Request body: {
  ""pan"": ""6399960318999998"",
  ""panExpiry"": ""0627"",
  ""tokenRequestorId"": ""99850031692"",
  ""tokenType"": ""CLOUD"",
  ""tokenAssuranceLevel"": ""3""
}
3. Verify HTTP response code 422
4. Validate response body structure and fields","HTTP 422, error: TOKEN_RANGE_EXHAUSTED.",Section 4.3.2.,R3,POST http://10.88.250.40:40020/tvm/api/tokens/provision,422
TC-TVT-009,TC-TVT-009 Token Provisioning - PAN outside account range,TC-A Token Provisioning,NEGATIVE,High,"Vault created, issuer onboarded, BIN and account ranges configured.","1. Send POST request to http://10.88.250.40:40020/tvm/api/tokens/provision
2. Request body: {
  ""pan"": ""6399960300000001"",
  ""panExpiry"": ""0627"",
  ""tokenRequestorId"": ""99850031692"",
  ""tokenType"": ""CLOUD"",
  ""tokenAssuranceLevel"": ""3""
}
3. Verify HTTP response code 422
4. Validate response body structure and fields","HTTP 422, error: ACCOUNT_NOT_ELIGIBLE.",Section 4.2.,R1,POST http://10.88.250.40:40020/tvm/api/tokens/provision,422
TC-TVT-010,TC-TVT-010 Token Provisioning - Expired PAN,TC-A Token Provisioning,NEGATIVE,High,"Vault created, issuer onboarded, BIN and account ranges configured.","1. Send POST request to http://10.88.250.40:40020/tvm/api/tokens/provision
2. Request body: {
  ""pan"": ""6399960312345678"",
  ""panExpiry"": ""0123"",
  ""tokenRequestorId"": ""99850031692"",
  ""tokenType"": ""CLOUD"",
  ""tokenAssuranceLevel"": ""3""
}
3. Verify HTTP response code 400
4. Validate response body structure and fields","HTTP 400, error: PAN expired, cannot issue token.",Section 4.3.1.,,POST http://10.88.250.40:40020/tvm/api/tokens/provision,400
