Suite,Section,Title,Type,Priority,Business Rule,API Endpoint,Preconditions,Steps,Expected Result,Custom Fields Error Code
TSP Token Vault,01 Vault Creation,Vault Creation  Happy Path,Functional,Critical,Pre-requisite,POST /rgm/api/vaults,No vault exists for tspCode=998. Service is running on port 40010.,"1. Send POST /rgm/api/vaults with body: {""tspCode"":""998"",""tokenVaultName"":""My Token Vault"",""custodianIdList"":[""custodian009"",""custodian010""]}
2. Verify HTTP response code
3. Extract and store vaultId from response
4. Verify Content-Type header is application/json","HTTP 200 or 201. Response contains vaultId (string, non-empty). tokenVaultName is reflected. tspCode matches request value. vaultId stored as environment variable for downstream chaining.",N/A
TSP Token Vault,01 Vault Creation,Vault Creation  Missing tspCode (Negative),Negative,High,Pre-requisite,POST /rgm/api/vaults,Service is running. No tspCode supplied in request body.,"1. Send POST /rgm/api/vaults with body: {""tokenVaultName"":""Vault Without TSP Code"",""custodianIdList"":[""custodian009""]}
2. Verify HTTP response code
3. Verify error body structure",HTTP 400 or 422. Response body contains errorCode or message field. No vaultId issued.,MISSING_FIELD
TSP Token Vault,01 Vault Creation,Vault Creation  Empty custodianIdList (Negative),Negative,Medium,Pre-requisite,POST /rgm/api/vaults,Service is running.,"1. Send POST /rgm/api/vaults with body: {""tspCode"":""998"",""tokenVaultName"":""Empty Custodian Vault"",""custodianIdList"":[]}
2. Verify HTTP response code
3. Verify response is valid JSON",HTTP 400 or 422. Response is valid JSON. No vault created.,MISSING_FIELD
TSP Token Vault,02 Generate Transport Key,Generate Transport Key  Happy Path,Functional,Critical,Pre-requisite,GET /api/generate-transport-key,Mocker service running on port 40029.,"1. Send GET /api/generate-transport-key
2. Verify HTTP response code
3. Extract transportKey from response and store as environment variable generatedTransportKey
4. Verify key length > 10 characters","HTTP 200. Response contains transportKey (string, length > 10). Key stored in environment variable for downstream use. Response time < 2000ms.",N/A
TSP Token Vault,02 Generate Transport Key,Generate Transport Key  Uniqueness per Call (Security),Security,High,Pre-requisite,GET /api/generate-transport-key,TC-TRK-001 completed. generatedTransportKey stored in environment.,"1. Send second GET /api/generate-transport-key
2. Compare returned key with key from TC-TRK-001
3. Verify keys differ",HTTP 200. New transport key differs from the key returned in TC-TRK-001. Each invocation produces a unique key (no replay reuse).,N/A
TSP Token Vault,03 Get Certificate,Get Certificate  Valid X-TV-ID,Functional,Critical,Pre-requisite,GET /tvm/api/vault/certificate,TC-TVT-001 completed. vaultId stored in environment. TVM service running on port 40020.,"1. Send GET /tvm/api/vault/certificate with header X-TV-ID: {{vaultId}}
2. Verify HTTP response code
3. Store full response body as vaultCertificate
4. Verify response body length > 50 characters",HTTP 200. Response body is non-empty (length > 50). Certificate stored in vaultCertificate environment variable for use in Encrypt-Key step.,N/A
TSP Token Vault,03 Get Certificate,Get Certificate  Missing X-TV-ID Header (Negative),Security,High,Pre-requisite,GET /tvm/api/vault/certificate,TVM service running.,"1. Send GET /tvm/api/vault/certificate with NO X-TV-ID header
2. Verify HTTP response code","HTTP 400, 401, or 403. Request rejected due to missing identity header.",MISSING_HEADER
TSP Token Vault,03 Get Certificate,Get Certificate  Invalid X-TV-ID (Negative),Negative,Medium,Pre-requisite,GET /tvm/api/vault/certificate,TVM service running.,"1. Send GET /tvm/api/vault/certificate with header X-TV-ID: INVALID_VAULT_00000
2. Verify HTTP response code",HTTP 400 or 404. Non-existent vault ID returns appropriate error.,VAULT_NOT_FOUND
TSP Token Vault,04 Encrypt The Key,Encrypt Transport Key  Happy Path,Functional,Critical,Pre-requisite,POST /api/v1/encrypt/transport-key,TC-CERT-001 completed (vaultCertificate available). Plain transport key available. Mocker running on port 40029.,"1. Send POST /api/v1/encrypt/transport-key as multipart/form-data with: publicKeyCertificate={{vaultCertificate}}, plainData={{plain_transport_key}}
2. Verify HTTP response code
3. Extract encryptedTransportKey and store in environment
4. Extract kcv and store in environment","HTTP 200. Response contains encryptedTransportKey (string, length > 20) and kcv (string, length > 4). Both stored in environment for Issuer Creation step.",N/A
TSP Token Vault,04 Encrypt The Key,Encrypt Transport Key  Missing plainData (Negative),Negative,Medium,Pre-requisite,POST /api/v1/encrypt/transport-key,Mocker running.,"1. Send POST /api/v1/encrypt/transport-key with ONLY publicKeyCertificate in form-data (omit plainData)
2. Verify HTTP response code",HTTP 400 or 422. Request rejected due to missing plainData field.,MISSING_FIELD
